"","id","highway","cycleway","access","foot","bicycle","oneway","routeId","routingFactorId"
"4443",1628965,"secondary",NA,"no","no","yes","yes",0,272
"5036",1709451,"unclassified",NA,"yes","yes","yes","yes",0,337
"5037",1709456,"tertiary",NA,"yes","yes","yes","no",0,67
"5038",1709460,"unclassified",NA,"yes","yes","yes","no",0,337
"7542",2340822,"trunk",NA,"no","no","yes","yes",0,396
"8097",2390554,"trunk",NA,"no","yes","yes","yes",0,657
"8555",2447290,"residential",NA,"yes","yes","yes","no",0,377
"8556",2447335,"footway",NA,"no","designated","dismount","no",0,185
"8558",2447535,"trunk",NA,"no","yes","yes","yes",0,612
"9537",2526748,"primary",NA,"no","no","yes","yes",0,569
"9538",2526750,"primary",NA,"no","no","yes","yes",0,569
"12865",2954219,"trunk",NA,"no","no","yes","yes",0,459
"12866",2954221,"trunk",NA,"no","no","yes","yes",0,338
"13703",2956848,"residential",NA,"yes","yes","yes","no",0,377
"13704",2956850,"residential",NA,"yes","yes","yes","no",0,377
"13705",2956851,"residential",NA,"yes","yes","yes","no",0,377
"13706",2956856,"residential",NA,"yes","yes","yes","no",0,377
"13707",2956857,"residential",NA,"yes","yes","yes","no",0,377
"13708",2956859,"service",NA,"yes","yes","yes","no",0,436
"13709",2956861,"residential",NA,"yes","yes","yes","no",0,377
"24660",3689919,"motorway_link",NA,"no","no","yes","yes",0,480
"24661",3689920,"motorway_link",NA,"no","no","yes","yes",0,480
"26389",3747666,"trunk",NA,"no","no","yes","yes",0,396
"26390",3747667,"trunk",NA,"no","no","yes","yes",0,396
"27586",3805729,"trunk",NA,"no","no","yes","yes",0,459
"29984",3978672,"residential",NA,"yes","yes","yes","no",0,377
"29985",3978674,"service",NA,"yes","yes","yes","no",0,436
"29986",3978678,"residential",NA,"yes","yes","yes","no",0,377
"29987",3978681,"residential",NA,"yes","yes","yes","no",0,377
"29988",3978682,"residential",NA,"yes","yes","yes","no",0,377
"29989",3978685,"residential",NA,"yes","yes","yes","no",0,377
"29990",3978686,"service",NA,"yes","yes","yes","no",0,436
"29991",3978688,"residential",NA,"yes","yes","yes","no",0,377
"29992",3978689,"residential",NA,"yes","yes","yes","no",0,377
"29993",3978690,"residential",NA,"yes","yes","yes","no",3179113,106
"30322",3981212,"footway",NA,"no","designated","dismount","no",0,185
"30323",3981214,"residential",NA,"yes","yes","yes","no",0,377
"30324",3981215,"residential",NA,"yes","yes","yes","no",0,377
"30325",3981217,"footway",NA,"no","designated","dismount","no",0,185
"30326",3981218,"residential",NA,"yes","yes","yes","no",3179113,186
"30327",3981219,"residential",NA,"yes","yes","yes","no",0,377
"30328",3981221,"footway",NA,"no","designated","dismount","no",0,185
"30329",3981222,"residential",NA,"yes","yes","yes","no",0,377
"30330",3981225,"service",NA,"yes","yes","yes","no",0,436
"30331",3981226,"residential",NA,"yes","yes","yes","no",0,377
"30332",3981227,"residential",NA,"yes","yes","yes","no",0,377
"30333",3981228,"residential",NA,"yes","yes","yes","no",0,377
"30334",3981229,"residential",NA,"yes","yes","yes","no",0,377
"30335",3981230,"residential",NA,"yes","yes","yes","no",0,377
"30336",3981231,"residential",NA,"yes","yes","yes","no",0,377
"30337",3981234,"footway",NA,"no","designated","dismount","no",0,185
"30338",3981235,"footway",NA,"no","designated","dismount","no",0,185
"30339",3981236,"residential",NA,"yes","yes","yes","no",0,377
"32840",3994353,"residential",NA,"yes","yes","yes","no",0,249
"32846",3994381,"residential",NA,"yes","yes","yes","no",0,377
"32847",3994382,"residential",NA,"yes","yes","yes","no",0,377
"32856",3994401,"residential",NA,"yes","yes","yes","no",0,377
"32857",3994403,"residential",NA,"yes","yes","yes","no",0,377
"32873",3994431,"unclassified",NA,"yes","yes","yes","yes",0,337
"32874",3994432,"residential",NA,"yes","yes","yes","no",0,249
"32875",3994462,"residential",NA,"yes","yes","yes","no",0,249
"32876",3994463,"residential",NA,"yes","yes","yes","no",0,249
"32877",3994464,"residential",NA,"yes","yes","yes","no",0,249
"32878",3994465,"residential",NA,"yes","yes","yes","no",0,249
"32879",3994467,"footway",NA,"no","designated","dismount","no",0,185
"32880",3994470,"unclassified",NA,"yes","yes","yes","no",1548002,632
"32881",3994473,"footway",NA,"no","designated","dismount","no",0,185
"32882",3994474,"unclassified",NA,"yes","yes","yes","no",0,337
"32883",3994475,"footway",NA,"no","designated","dismount","no",0,185
"32884",3994476,"footway",NA,"no","designated","dismount","no",0,185
"32885",3994477,"service",NA,"yes","designated","yes","no",0,187
"32886",3994478,"unclassified",NA,"yes","yes","yes","no",0,337
"32887",3994479,"footway",NA,"no","designated","dismount","no",0,185
"32888",3994481,"unclassified",NA,"yes","yes","yes","no",0,22
"32889",3994484,"residential",NA,"yes","yes","yes","no",0,377
"32890",3994492,"primary",NA,"no","no","yes","no",0,569
"32891",3994493,"primary",NA,"no","no","yes","no",0,569
"32892",3994498,"unclassified",NA,"yes","yes","yes","no",0,337
"32905",3994518,"residential",NA,"yes","yes","yes","no",0,377
"32906",3994520,"unclassified",NA,"yes","yes","yes","no",0,337
"32907",3994524,"unclassified",NA,"yes","yes","yes","no",0,337
"33007",3994670,"footway",NA,"no","designated","dismount","no",0,185
"33008",3994673,"tertiary",NA,"yes","yes","yes","no",1548002,68
"33009",3994674,"unclassified",NA,"yes","yes","yes","no",0,591
"33013",3994680,"trunk",NA,"no","no","yes","yes",0,338
"34221",3998253,"motorway_link",NA,"no","no","yes","yes",0,480
"34222",3998255,"motorway_link",NA,"no","no","yes","yes",0,480
"34716",3999869,"motorway_link",NA,"no","no","yes","yes",0,480
"34717",3999870,"motorway_link",NA,"no","no","yes","yes",0,480
"34718",3999871,"primary",NA,"no","no","yes","yes",0,396
"34719",3999872,"primary",NA,"no","no","yes","yes",0,396
"34720",3999873,"primary",NA,"no","no","yes","yes",0,569
"34721",3999874,"primary",NA,"no","no","yes","yes",0,569
"34722",3999876,"primary",NA,"no","no","yes","yes",0,569
"34723",3999877,"primary",NA,"no","no","yes","yes",0,569
"34724",3999878,"primary",NA,"no","no","yes","yes",0,145
"34730",3999925,"service",NA,"yes","yes","yes","no",0,436
"34731",3999926,"unclassified",NA,"yes","yes","yes","no",0,337
"34732",3999927,"service",NA,"yes","yes","yes","no",0,436
"34733",3999928,"unclassified",NA,"yes","yes","yes","no",0,337
"34734",3999929,"primary",NA,"no","no","yes","no",0,569
"34735",3999930,"primary",NA,"no","no","yes","yes",0,459
"34736",3999931,"primary",NA,"no","no","yes","yes",0,396
"34737",3999934,"tertiary",NA,"yes","yes","yes","no",0,144
"34739",3999941,"service",NA,"yes","yes","yes","no",0,436
"34740",3999942,"motorway_link",NA,"no","no","yes","yes",0,480
"34761",3999965,"primary",NA,"no","no","yes","no",0,569
"34762",3999966,"trunk",NA,"no","no","yes","yes",0,459
"34763",3999967,"unclassified",NA,"yes","no","yes","yes",3723504,252
"34764",3999969,"service",NA,"yes","yes","yes","no",0,436
"34765",3999971,"unclassified",NA,"yes","yes","yes","yes",0,337
"35138",4001184,"primary",NA,"no","no","yes","no",0,569
"35481",4002495,"tertiary",NA,"yes","yes","yes","no",0,144
"35760",4003380,"residential",NA,"yes","yes","yes","no",0,377
"35761",4003382,"residential",NA,"yes","yes","yes","yes",0,377
"35762",4003383,"service",NA,"yes","yes","yes","no",0,436
"35763",4003385,"residential",NA,"yes","yes","yes","no",0,377
"35931",4004378,"residential",NA,"yes","yes","yes","no",0,377
"35932",4004379,"secondary",NA,"no","no","yes","no",0,272
"35933",4004380,"residential",NA,"yes","yes","yes","yes",0,377
"35934",4004381,"service",NA,"yes","yes","yes","no",0,436
"35935",4004382,"residential",NA,"yes","yes","yes","no",0,377
"35936",4004383,"residential",NA,"yes","yes","yes","no",0,377
"35937",4004384,"residential",NA,"yes","yes","yes","no",0,377
"35938",4004385,"residential",NA,"yes","no","yes","yes",0,380
"35939",4004386,"tertiary",NA,"yes","yes","yes","no",0,144
"35940",4004387,"residential",NA,"yes","yes","yes","no",0,377
"35941",4004389,"residential",NA,"yes","yes","yes","no",0,377
"35942",4004390,"residential",NA,"yes","yes","yes","no",0,377
"35943",4004391,"residential",NA,"yes","yes","yes","no",0,377
"35944",4004392,"residential",NA,"yes","yes","yes","no",0,377
"35945",4004393,"service",NA,"yes","yes","yes","no",0,436
"35946",4004394,"residential",NA,"yes","yes","yes","no",0,377
"35947",4004395,"service",NA,"yes","yes","yes","no",0,436
"35948",4004397,"service",NA,"yes","yes","yes","no",0,436
"35949",4004398,"residential",NA,"yes","yes","yes","no",0,377
"35950",4004399,"residential",NA,"yes","yes","yes","no",0,377
"35951",4004400,"residential",NA,"yes","yes","yes","no",0,377
"35952",4004402,"residential",NA,"yes","yes","yes","no",0,377
"35953",4004404,"residential",NA,"yes","yes","yes","no",0,377
"35954",4004405,"residential",NA,"yes","yes","yes","no",0,377
"35955",4004406,"residential",NA,"yes","yes","yes","no",0,377
"35956",4004407,"residential",NA,"yes","yes","yes","no",0,377
"35957",4004408,"residential",NA,"yes","yes","yes","no",0,377
"35958",4004411,"residential",NA,"yes","yes","yes","no",0,377
"35959",4004412,"residential",NA,"yes","yes","yes","no",0,377
"35960",4004413,"trunk","lane","no","no","yes","no",0,524
"35961",4004426,"trunk",NA,"no","no","yes","yes",0,338
"36193",4005501,"residential",NA,"yes","yes","yes","no",0,377
"36210",4005537,"secondary",NA,"no","no","yes","no",0,272
"36211",4005538,"tertiary",NA,"yes","yes","yes","no",0,144
"36212",4005539,"secondary",NA,"no","no","yes","no",0,272
"36213",4005540,"residential",NA,"yes","yes","yes","no",0,377
"36214",4005541,"residential",NA,"yes","yes","yes","no",0,377
"36419",4006151,"primary_link",NA,"no","no","yes","yes",0,145
"36446",4006233,"unclassified",NA,"yes","yes","yes","no",0,337
"36453",4006240,"footway",NA,"no","yes","dismount","no",0,185
"36720",4007569,"unclassified",NA,"yes","yes","yes","no",0,612
"36721",4007570,"unclassified",NA,"yes","yes","yes","no",0,612
"36722",4007571,"unclassified",NA,"yes","yes","yes","no",0,612
"36723",4007572,"residential",NA,"yes","yes","yes","no",0,377
"36724",4007573,"residential",NA,"yes","yes","yes","no",0,377
"36725",4007574,"residential",NA,"yes","yes","yes","no",0,377
"36726",4007575,"unclassified",NA,"yes","yes","yes","no",0,337
"36727",4007576,"residential",NA,"yes","yes","yes","no",0,377
"36728",4007577,"residential",NA,"yes","yes","yes","no",0,377
"36729",4007578,"residential",NA,"yes","yes","yes","no",0,377
"36733",4007582,"trunk",NA,"no","no","yes","yes",0,396
"37707",4014510,"primary",NA,"no","no","yes","no",0,569
"37726",4014719,"trunk",NA,"no","no","yes","yes",0,396
"37737",4014758,"tertiary",NA,"yes","yes","yes","no",0,67
"37738",4014759,"tertiary",NA,"yes","yes","yes","no",0,144
"37783",4015039,"primary",NA,"no","no","yes","no",0,569
"37784",4015040,"primary",NA,"no","no","yes","no",0,569
"37785",4015044,"tertiary",NA,"yes","yes","yes","no",0,67
"38175",4016733,"residential",NA,"yes","yes","yes","no",0,377
"38176",4016734,"service",NA,"yes","yes","yes","no",0,436
"38177",4016735,"residential",NA,"yes","yes","yes","no",0,377
"38178",4016736,"residential",NA,"yes","yes","yes","no",0,377
"38179",4016737,"service",NA,"yes","yes","yes","no",0,436
"38180",4016738,"residential",NA,"yes","yes","yes","no",0,377
"38181",4016739,"service",NA,"yes","yes","yes","no",0,436
"38182",4016740,"residential",NA,"yes","yes","yes","no",0,377
"38183",4016741,"service",NA,"yes","yes","yes","no",0,436
"38184",4016742,"residential",NA,"yes","yes","yes","no",0,377
"38185",4016743,"cycleway","track","yes","yes","designated","no",0,186
"38186",4016744,"residential",NA,"yes","yes","yes","no",0,377
"38187",4016745,"service",NA,"yes","yes","yes","no",0,436
"38188",4016746,"residential",NA,"yes","yes","yes","no",0,377
"38189",4016747,"residential",NA,"yes","yes","yes","no",0,377
"38190",4016748,"service",NA,"yes","yes","yes","no",0,436
"38191",4016749,"residential",NA,"yes","yes","yes","no",0,377
"38192",4016750,"service",NA,"yes","yes","yes","no",0,436
"38193",4016751,"residential",NA,"yes","yes","yes","no",0,377
"38194",4016752,"service",NA,"yes","yes","yes","no",0,436
"38195",4016760,"service",NA,"yes","yes","yes","no",0,436
"38196",4016763,"residential",NA,"yes","yes","yes","no",0,377
"38197",4016764,"residential",NA,"yes","yes","yes","no",0,377
"38291",4017430,"trunk",NA,"no","no","yes","yes",0,459
"38292",4017431,"trunk",NA,"no","no","yes","yes",0,338
"38293",4017432,"trunk",NA,"no","no","yes","no",0,338
"38294",4017433,"trunk",NA,"no","no","yes","yes",0,338
"38295",4017435,"unclassified",NA,"yes","yes","yes","yes",0,337
"38296",4017437,"tertiary",NA,"yes","yes","yes","no",0,144
"38297",4017438,"tertiary",NA,"yes","yes","yes","no",0,144
"38463",4017812,"service",NA,"yes","yes","yes","no",0,436
"38464",4017813,"residential",NA,"yes","yes","yes","no",0,377
"38465",4017814,"residential",NA,"yes","yes","yes","no",0,377
"38466",4017815,"service",NA,"yes","yes","yes","no",0,436
"38467",4017816,"residential",NA,"yes","yes","yes","no",0,377
"38468",4017817,"residential",NA,"yes","yes","yes","no",0,377
"38469",4017818,"residential",NA,"yes","yes","yes","no",0,377
"38470",4017820,"residential",NA,"yes","yes","yes","no",0,377
"38471",4017821,"service",NA,"yes","yes","yes","no",0,436
"38472",4017822,"residential",NA,"yes","yes","yes","no",0,377
"38473",4017823,"residential",NA,"yes","yes","yes","no",0,377
"38474",4017824,"service",NA,"yes","yes","yes","no",0,436
"38475",4017825,"service",NA,"yes","yes","yes","no",0,436
"38476",4017826,"residential",NA,"yes","yes","yes","no",0,377
"38477",4017827,"residential",NA,"yes","yes","yes","no",0,377
"38478",4017828,"residential",NA,"yes","yes","yes","no",0,377
"38479",4017829,"tertiary",NA,"yes","yes","yes","no",0,144
"38480",4017830,"residential",NA,"yes","yes","yes","no",0,377
"38481",4017831,"residential",NA,"yes","yes","yes","no",0,377
"38482",4017832,"residential",NA,"yes","yes","yes","no",0,377
"38483",4017833,"service",NA,"yes","yes","yes","no",0,436
"38484",4017835,"service",NA,"yes","yes","yes","no",0,436
"38485",4017836,"residential",NA,"yes","yes","yes","no",0,377
"38486",4017837,"service",NA,"yes","yes","yes","no",0,436
"38487",4017838,"residential",NA,"yes","yes","yes","no",0,377
"38488",4017839,"service",NA,"yes","yes","yes","no",0,436
"38489",4017847,"residential",NA,"yes","yes","yes","no",0,377
"38490",4017848,"residential",NA,"yes","yes","yes","no",3179113,186
"38491",4017849,"residential",NA,"yes","yes","yes","no",3179113,186
"38492",4017905,"residential",NA,"yes","yes","yes","no",0,377
"38631",4018926,"secondary",NA,"no","no","yes","no",0,272
"38632",4018927,"tertiary",NA,"yes","yes","yes","no",0,144
"38633",4018928,"secondary",NA,"no","no","yes","no",0,272
"38634",4018929,"tertiary",NA,"yes","yes","yes","no",0,144
"38635",4018930,"tertiary",NA,"yes","yes","yes","no",0,144
"38636",4018932,"tertiary",NA,"yes","yes","yes","no",0,144
"38799",4019403,"residential",NA,"yes","yes","yes","no",0,377
"38800",4019404,"residential",NA,"yes","yes","yes","no",0,377
"38824",4019598,"residential",NA,"yes","yes","yes","no",0,377
"38825",4019600,"primary",NA,"no","no","yes","yes",0,569
"38826",4019602,"tertiary",NA,"yes","yes","yes","no",0,144
"38827",4019603,"primary",NA,"no","no","yes","yes",0,569
"38828",4019604,"primary",NA,"no","no","yes","yes",0,396
"38954",4020253,"residential",NA,"yes","yes","yes","no",0,377
"38955",4020254,"residential",NA,"yes","yes","yes","no",0,377
"38956",4020255,"residential",NA,"yes","yes","yes","no",0,377
"38957",4020256,"tertiary",NA,"yes","yes","yes","no",0,144
"38958",4020257,"tertiary",NA,"yes","yes","yes","no",0,144
"39270",4031804,"residential",NA,"yes","yes","yes","no",0,377
"39271",4032181,"unclassified",NA,"yes","yes","yes","no",0,337
"39272",4032182,"unclassified",NA,"yes","yes","yes","no",0,337
"39312",4036978,"residential",NA,"yes","yes","yes","no",0,377
"39313",4036979,"residential",NA,"yes","yes","yes","no",0,377
"39314",4036980,"residential",NA,"yes","yes","yes","no",0,377
"40663",4044366,"residential",NA,"yes","yes","yes","no",0,377
"40664",4044367,"residential",NA,"yes","yes","yes","no",0,377
"40760",4044668,"residential",NA,"yes","yes","yes","no",0,377
"40761",4044669,"residential",NA,"yes","yes","yes","no",0,377
"40762",4044670,"residential",NA,"yes","yes","yes","no",0,377
"40763",4044673,"residential",NA,"yes","yes","yes","no",0,377
"40764",4044683,"residential",NA,"yes","yes","yes","no",0,377
"40765",4044687,"residential",NA,"yes","yes","yes","no",0,377
"40999",4045208,"tertiary",NA,"yes","yes","yes","no",0,144
"41063",4045460,"primary",NA,"no","no","yes","no",0,569
"41064",4045462,"primary",NA,"no","no","yes","no",0,396
"41065",4045463,"service",NA,"permissive","permissive","permissive","no",0,436
"41085",4045653,"primary",NA,"no","no","yes","no",0,569
"41663",4048918,"primary",NA,"no","no","yes","no",0,569
"41718",4049006,"unclassified",NA,"yes","yes","yes","no",0,337
"41719",4049013,"trunk",NA,"no","no","yes","yes",0,338
"41769",4049155,"residential",NA,"yes","yes","yes","no",0,377
"41770",4049156,"tertiary",NA,"yes","yes","yes","yes",0,144
"41771",4049157,"tertiary",NA,"yes","yes","yes","yes",0,144
"42061",4054412,"tertiary",NA,"yes","yes","yes","yes",0,144
"42120",4054807,"tertiary",NA,"yes","yes","yes","no",0,144
"42121",4054809,"tertiary",NA,"yes","yes","yes","yes",0,144
"42417",4060256,"trunk",NA,"no","no","yes","no",0,338
"42418",4060258,"tertiary",NA,"yes","yes","yes","no",0,144
"42419",4060259,"primary",NA,"no","no","yes","no",0,569
"42420",4060261,"trunk",NA,"no","no","yes","yes",0,459
"42421",4060263,"service",NA,"yes","yes","yes","yes",0,377
"42486",4060653,"residential",NA,"yes","yes","yes","no",0,377
"42487",4060655,"residential",NA,"yes","yes","yes","no",0,377
"43482",4072011,"trunk",NA,"no","no","yes","yes",0,338
"43489",4072022,"service",NA,"yes","yes","yes","yes",0,436
"43490",4072023,"service",NA,"yes","no","yes","yes",0,188
"43491",4072024,"service",NA,"yes","yes","yes","yes",0,436
"43492",4072025,"trunk_link",NA,"no","no","yes","yes",0,338
"43493",4072026,"unclassified",NA,"yes","yes","yes","no",0,337
"43494",4072027,"unclassified",NA,"yes","yes","yes","no",0,337
"43495",4072028,"primary",NA,"no","no","yes","yes",0,396
"43496",4072029,"primary",NA,"no","no","yes","yes",0,569
"43497",4072031,"unclassified",NA,"yes","yes","yes","no",0,337
"43498",4072032,"unclassified",NA,"yes","yes","yes","no",0,337
"43499",4072033,"unclassified",NA,"yes","yes","yes","no",357215,186
"43500",4072034,"unclassified",NA,"yes","yes","yes","no",0,337
"43501",4072035,"unclassified",NA,"yes","yes","yes","no",0,337
"43502",4072036,"unclassified",NA,"yes","yes","yes","no",0,337
"43503",4072037,"unclassified",NA,"yes","yes","yes","no",0,337
"43504",4072038,"unclassified",NA,"yes","no","yes","yes",357215,252
"43505",4072039,"unclassified",NA,"yes","no","yes","yes",357215,252
"43506",4072040,"footway",NA,"no","yes","yes","no",357215,546
"43507",4072041,"footway",NA,"no","yes","yes","no",357215,546
"43508",4072042,"bridleway",NA,NA,"yes","yes","no",357215,418
"43517",4072055,"unclassified",NA,"yes","yes","yes","no",357215,186
"43535",4072242,"unclassified",NA,"yes","yes","yes","no",357215,186
"43536",4072243,"secondary",NA,"no","no","yes","no",357215,252
"43537",4072244,"primary",NA,"no","no","yes","no",0,569
"43538",4072245,"tertiary",NA,"yes","yes","yes","no",0,144
"43539",4072246,"tertiary",NA,"yes","yes","yes","no",357215,186
"43540",4072247,"unclassified",NA,"yes","yes","yes","no",357215,186
"43544",4072252,"unclassified",NA,"yes","yes","yes","no",0,337
"43545",4072253,"unclassified",NA,"yes","yes","yes","no",0,337
"44720",4075938,"unclassified",NA,"yes","yes","yes","no",0,612
"44721",4075939,"unclassified",NA,"yes","yes","yes","no",0,612
"48644",4137392,"footway",NA,"no","designated","dismount","no",0,185
"49992",4191968,"tertiary",NA,"yes","yes","yes","no",0,67
"53699",4228567,"unclassified",NA,"yes","yes","yes","yes",0,337
"53700",4228589,"residential",NA,"yes","yes","yes","no",0,377
"53701",4228590,"residential",NA,"yes","yes","yes","no",0,377
"53702",4228591,"residential",NA,"yes","yes","yes","no",0,377
"65847",4289743,"residential",NA,"yes","yes","yes","no",0,377
"69001",4310118,"pedestrian",NA,"no","yes","dismount","no",0,502
"69469",4312071,"footway",NA,"no","yes","dismount","no",0,185
"69470",4312072,"footway",NA,"no","yes","dismount","no",0,185
"69471",4312073,"footway",NA,"no","yes","dismount","no",0,185
"69472",4312074,"footway",NA,"no","yes","dismount","no",0,185
"69473",4312076,"footway",NA,"no","yes","dismount","no",0,185
"69474",4312077,"footway",NA,"no","yes","dismount","no",0,185
"69486",4312094,"residential",NA,"yes","yes","yes","no",0,377
"69487",4312095,"unclassified",NA,"yes","yes","yes","no",0,337
"69488",4312096,"residential",NA,"yes","yes","yes","no",0,377
"69489",4312097,"unclassified",NA,"yes","yes","yes","no",0,337
"69490",4312098,"residential",NA,"yes","yes","yes","no",0,377
"69491",4312099,"residential",NA,"yes","yes","yes","no",0,377
"69492",4312100,"residential",NA,"yes","yes","yes","no",0,377
"69493",4312103,"residential",NA,"yes","yes","yes","no",0,377
"69494",4312104,"residential",NA,"yes","yes","yes","no",0,377
"69495",4312106,"residential",NA,"yes","yes","yes","no",0,377
"69527",4312148,"track",NA,"yes","yes","yes","no",0,227
"69590",4312371,"residential",NA,"yes","yes","yes","no",0,377
"69694",4313021,"primary",NA,"no","no","yes","no",0,569
"69695",4313022,"primary",NA,"no","no","yes","no",0,569
"70156",4315055,"trunk",NA,"no","no","yes","no",0,338
"71895",4322250,"secondary",NA,"no","no","yes","no",0,272
"71896",4322251,"tertiary",NA,"yes","yes","yes","no",17883,86
"71897",4322252,"tertiary",NA,"yes","yes","yes","no",0,144
"71898",4322253,"secondary",NA,"no","no","yes","yes",0,459
"72620",4325542,"residential",NA,"yes","yes","yes","no",0,377
"72621",4325543,"residential",NA,"yes","yes","yes","no",0,377
"72622",4325546,"residential",NA,"yes","yes","yes","no",0,377
"72623",4325547,"residential",NA,"yes","yes","yes","no",0,377
"72624",4325548,"residential",NA,"yes","yes","yes","no",2054077,186
"72625",4325549,"residential",NA,"yes","yes","yes","no",0,377
"72626",4325550,"residential",NA,"yes","yes","yes","no",0,377
"72627",4325551,"residential",NA,"yes","yes","yes","no",0,377
"72628",4325552,"residential",NA,"yes","yes","yes","no",0,377
"72629",4325553,"residential",NA,"yes","yes","yes","no",0,377
"72630",4325554,"residential",NA,"yes","yes","yes","no",0,377
"72631",4325555,"residential",NA,"yes","yes","yes","no",0,377
"72632",4325556,"residential",NA,"yes","yes","yes","no",0,377
"72633",4325557,"residential",NA,"yes","yes","yes","no",0,377
"72634",4325558,"residential",NA,"yes","yes","yes","no",0,377
"72635",4325559,"residential",NA,"yes","yes","yes","no",0,377
"72636",4325560,"residential",NA,"yes","yes","yes","no",0,377
"72637",4325561,"residential",NA,"yes","yes","yes","no",0,377
"72638",4325562,"residential",NA,"yes","yes","yes","no",0,377
"72639",4325563,"residential",NA,"yes","yes","yes","no",0,377
"72640",4325564,"residential",NA,"yes","yes","yes","no",0,377
"72641",4325565,"residential",NA,"yes","yes","yes","no",0,377
"72642",4325566,"residential",NA,"yes","yes","yes","no",2054077,186
"72643",4325567,"residential",NA,"yes","yes","yes","no",0,377
"72644",4325568,"residential",NA,"yes","yes","yes","no",2054077,186
"72645",4325569,"residential",NA,"yes","yes","yes","no",0,377
"72646",4325570,"residential",NA,"yes","yes","yes","no",0,377
"72647",4325571,"residential",NA,"yes","yes","yes","no",0,377
"72648",4325574,"residential",NA,"yes","yes","yes","no",0,377
"72649",4325575,"residential",NA,"yes","yes","yes","no",0,377
"72650",4325576,"residential",NA,"yes","yes","yes","no",0,377
"72651",4325578,"residential",NA,"yes","yes","yes","no",0,377
"72652",4325579,"residential",NA,"yes","yes","yes","no",0,377
"72653",4325582,"residential",NA,"yes","yes","yes","no",0,377
"72654",4325583,"tertiary",NA,"yes","yes","yes","no",0,144
"72655",4325584,"residential",NA,"yes","yes","yes","no",0,377
"72656",4325585,"residential",NA,"yes","yes","yes","no",0,377
"72657",4325586,"residential",NA,"yes","yes","yes","no",0,377
"72658",4325587,"residential",NA,"yes","yes","yes","no",0,377
"72659",4325588,"residential",NA,"yes","yes","yes","no",0,377
"72660",4325589,"residential",NA,"yes","yes","yes","no",0,377
"72661",4325590,"residential",NA,"yes","yes","yes","no",0,377
"72662",4325592,"tertiary",NA,"yes","yes","yes","no",3177071,208
"72663",4325593,"tertiary",NA,"yes","yes","yes","no",0,144
"72664",4325594,"residential",NA,"yes","yes","yes","no",0,377
"72665",4325595,"residential",NA,"yes","yes","yes","no",0,377
"72666",4325597,"residential",NA,"yes","yes","yes","no",0,377
"72667",4325599,"residential",NA,"yes","yes","yes","no",0,377
"72668",4325600,"residential",NA,"yes","yes","yes","no",0,377
"72669",4325601,"residential",NA,"yes","yes","yes","no",0,377
"72670",4325602,"residential",NA,"yes","yes","yes","no",0,377
"72671",4325603,"residential",NA,"yes","yes","yes","no",0,377
"72672",4325672,"pedestrian",NA,"no","yes","dismount","no",0,502
"72673",4325673,"pedestrian",NA,"no","yes","dismount","no",0,502
"72674",4325674,"pedestrian",NA,"no","yes","dismount","no",0,502
"72675",4325675,"trunk",NA,"no","no","yes","yes",0,459
"72676",4325683,"unclassified",NA,"yes","yes","yes","no",0,337
"72677",4325690,"unclassified",NA,"yes","yes","yes","yes",0,337
"72678",4325713,"unclassified",NA,"yes","yes","yes","no",0,337
"72736",4326312,"unclassified",NA,"yes","yes","yes","no",0,337
"72737",4326313,"trunk",NA,"no","no","yes","yes",0,459
"72738",4326318,"trunk",NA,"no","no","yes","no",0,396
"72739",4326319,"trunk",NA,"no","no","yes","no",0,396
"72740",4326325,"trunk",NA,"no","no","yes","yes",0,396
"72741",4326326,"trunk",NA,"no","no","yes","yes",0,396
"72742",4326327,"trunk",NA,"no","no","yes","yes",0,459
"72743",4326330,"trunk",NA,"no","no","yes","yes",0,396
"72744",4326331,"trunk",NA,"no","no","yes","yes",0,396
"72745",4326332,"trunk",NA,"no","no","yes","yes",0,396
"72746",4326333,"trunk",NA,"no","no","yes","yes",0,396
"72747",4326334,"trunk",NA,"no","no","yes","no",0,396
"72748",4326335,"trunk",NA,"no","no","yes","no",0,396
"72749",4326340,"unclassified",NA,"yes","yes","yes","no",0,22
"72750",4326342,"trunk",NA,"no","no","yes","yes",0,396
"72849",4326732,"trunk",NA,"no","no","yes","no",0,338
"72850",4326733,"unclassified",NA,"yes","yes","yes","no",357215,186
"72851",4326734,"footway",NA,"no","yes","yes","no",357215,546
"72852",4326735,"trunk_link",NA,"no","no","yes","yes",0,396
"72853",4326736,"trunk",NA,"no","no","yes","yes",0,396
"77974",4354666,"trunk",NA,"no","no","yes","yes",0,338
"77975",4354667,"trunk",NA,"no","no","yes","yes",0,338
"77976",4354668,"service",NA,"yes","no","yes","yes",0,188
"77982",4354684,"motorway_link",NA,"no","no","yes","yes",0,480
"77983",4354685,"motorway_link",NA,"no","no","yes","yes",0,480
"77984",4354686,"trunk",NA,"no","no","yes","yes",0,459
"77985",4354687,"trunk",NA,"no","no","yes","yes",0,396
"77986",4354688,"primary",NA,"no","no","yes","yes",0,569
"79470",4362581,"secondary",NA,"no","no","yes","yes",0,272
"79471",4362582,"service",NA,"yes","yes","yes","yes",0,436
"79472",4362583,"service",NA,"yes","yes","yes","yes",0,436
"79473",4362584,"service",NA,"yes","yes","yes","yes",0,436
"79474",4362586,"service",NA,"yes","yes","yes","no",0,436
